###############################################################################
# pdi.txt
# This file was auto-generated by cryptotvgen v1.1.0
###############################################################################
# Parameter:
#
# add_partial            - False
# aead                   - pyjamask128aeadv1
# block_size             - 128
# block_size_msg_digest  - None
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# gen_custom_mode        - 0
# hash                   - None
# io (W,SW)              - (32, 32)
# key_size               - 128
# max_ad                 - 128
# max_block_per_sgmt     - 9999
# max_d                  - 128
# max_io_per_line        - 9999
# message_digest_size    - 64
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ('npub', 'ad', 'data', 'tag')
# npub_size              - 96
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### Authenticated Encryption
#### MsgID=  1, KeyID=  1 Ad Size =  114, Pt Size =  125
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 70802F0D91C862274F150F7A
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=114 bytes
HDR = 12000072
DAT = 3AC7DF7C0965910FF3C6637E0AB97DA509A9FA1330340CD01C1AB1A3018D76B101737C317522D7E26C12B8597891BB083A6499FA7DE84E582DD16E40A41B8613EE39D311102A1B798A11E32B0286B1E96A60F7BADCAE3EDAE15D6DCBF236D06D6764AE02D472F1F7388E084E94C04B9DD9920000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=125 bytes
HDR = 4700007D
DAT = 02C9446D68E8D9107060EA77C75DA0419BDCED53033D3A4E66A39C67933D37514CA057F647C00D8B67A7B4EBCEF05D4DC96C4A72CC3541A9DC01AE26DBBB6297EA9D16B5EF856F6B95C3269501570982FA70D1C7FEC9DB9A7B2F208C7C667C4AB99B60F51BBD69FA8418C43BDB9377EE7AC1D8EE0361A40A1AED83905E000000

#### Authenticated Decryption
#### MsgID=  2, KeyID=  1 Ad Size =   32, Ct Size =   78
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 12BB7658C1ED32C732EC037F
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=32 bytes
HDR = 12000020
DAT = C3AF12096159D8BD15BBAD08BE71B76E19FABE79F8FCBFAA5C86640AEDFD0143
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=78 bytes
HDR = 5600004E
DAT = E9E3B28F137D1B00D55DB8F62A5C755D7D892C75BE99367D0479C7267EE6D30D47ABAFA5E7EF362B9781E3975B7ADBA1DDA9549BD0CBD1873AF7C0C8B1ECE02EBFD1C88A07AA5D236FB1AAD1D35F0000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = 0D5A93FEA227C1C7C20C196BE6608468

#### Authenticated Encryption
#### MsgID=  3, KeyID=  1 Ad Size =   79, Pt Size =   68
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 4283F3FEE6BA5BA74FA68209
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=79 bytes
HDR = 1200004F
DAT = 2A31B74417831053711F729D7FCC535E21707EBEBFBD05DE19209E3E6F98632F20D8FEA3860AA573EBE4EEA70161BE6AD701B03B2F11A4F339C1BC318194F492AAD94C9F46529789E8AA1C8D66596C00
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=68 bytes
HDR = 47000044
DAT = 272B2E7C34A4CC94986A6B74F27CE5FD26FAB72FC95043E707306ED43BD78BB398236FB8DDE00E7882599E91632F18D9B66B37C384EB4F103417E8D545E6B9C9A56CB3A6

#### Authenticated Encryption
#### MsgID=  4, KeyID=  2 Ad Size =   52, Pt Size =  114
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = B634F27F861930C1B25DCF66
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=52 bytes
HDR = 12000034
DAT = 95A198FDEBC58470431973877DFFC5D66AC46B098CB697C69FB232CA071DEE3C3DAB6653362315309D042792F1EFA6EF4772586F
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=114 bytes
HDR = 47000072
DAT = DD62D90DAE88C5B3D169F55D96974755F232667909D00646A0E32C3C52F3A16880F7ECE2D30569F16192114BF5065ACAADFD89DC2B7844FA54B4FB3DF83C617D2CEDE91AF2AE1CC97FA65B18F58B120F163366D2C0896DBB7EBFC4246FB4EAC4FBB43A3A5A3E3AB2D721C3476BC5592F81520000

#### Authenticated Encryption
#### MsgID=  5, KeyID=  3 Ad Size =   57, Pt Size =    5
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 5E3FF59D63AA88FBDFDF2526
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=57 bytes
HDR = 12000039
DAT = 777F99CF52FAF2E3E8E64CCC77C758A7C3572D08AC392F114C4A525C02DCCD78A9A2309DB1800C2EB8399CC94E8E54A7165DED2E26FA3D93F9000000
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=5 bytes
HDR = 47000005
DAT = B465746D23000000

#### Authenticated Decryption
#### MsgID=  6, KeyID=  4 Ad Size =   48, Ct Size =    3
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 1E0E36326DBE44ABABCD3393
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=48 bytes
HDR = 12000030
DAT = 6D62225393D97FB0E9DFDFB2830B95B57BB9EFDACE27D629EC1F747B0E8CEA7B431A152F7336C9191FF85BD3BDE7B621
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=3 bytes
HDR = 56000003
DAT = 6A0C2800
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = E0D024009D3789D733EFBF9F74235A5F

#### Authenticated Decryption
#### MsgID=  7, KeyID=  4 Ad Size =  115, Ct Size =   28
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 4838529B55DF8591BD1D79A2
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=115 bytes
HDR = 12000073
DAT = AD2D72EC97561C0B367E5F0DBE35AFC8DCED7DEF622ACBA3E476042CAF44E014AD4A652FF72A37E67B96B1806C90678CA2D2C057092B158AFD2BB68BD2C641F9D8CBA5E39955DD318846CCCEA2D77B7979B2093D72A6161DEAA025C74825F94C3549CE73F8192BCD57F664D61BA9F13C60942200
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=28 bytes
HDR = 5600001C
DAT = B918FF9417DC5096C553368163E83784490927EF5B04266D828D1E32
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = ADA5EE9D2B75756DEFE905790A64BA7E

#### Authenticated Decryption
#### MsgID=  8, KeyID=  5 Ad Size =   98, Ct Size =  110
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 2EA2F5BE9886EC8C61C5F5C9
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=98 bytes
HDR = 12000062
DAT = 17B896B6FE47D2E124C3A15372F7E19D890C6F0C2C3B5F9205232E9D3A3E89CD8CFCA96BA31628952AA51602813D0C2EC0C2ECBF8E401EE4758C202B38E3C91C3C79682D7A703EE53326AB906731EAA5AD6161CF9A7B35D0DDE75D20BF39E0F77C730000
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=110 bytes
HDR = 5600006E
DAT = 5FF03ED5E04A9CE6AAE861216964269C980EC3C8D9D38AD477BF371D92346C0DF7ECC7D1B1E46B3B626E5EC56DE8E8E3E68B882BD877DBC5050CE81E4E40B6402A0252AFC370F6FB85977C7EB2EA131E0676E9992E422E58A65FD785B1D08B2ECAF2CBCA99887E11A9F1ACB3E5920000
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = A60962EC42EA7E549964F2F953987083

#### Authenticated Decryption
#### MsgID=  9, KeyID=  6 Ad Size =  103, Ct Size =   20
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Decryption
INS = 30000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 8ACD596795CE5829ED5054E7
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=103 bytes
HDR = 12000067
DAT = B8141889200A32E885D44308BB8935343E254541AB278907C4769BCB351537D0A4BE7A38CC93079F8878AECE2872E65E478D80CDCC4D5D882475135BFE4BAE134DF947EDBCFFF521703314CC4EC4AD471A4847DFC3C7D2EC6DFAF146FCB770BA0722FE34B4337E00
# Info :               Ciphertext, EOI=1 EOT=1, Last=0, Length=20 bytes
HDR = 56000014
DAT = F77E92376C8A3A1942EE2E341CDB23F929422C72
# Info :                      Tag, EOI=0 EOT=1, Last=1, Length=16 bytes
HDR = 83000010
DAT = 2FB9AF0F0B5689CF7612D5B7717F4185

#### Authenticated Encryption
#### MsgID= 10, KeyID=  6 Ad Size =   99, Pt Size =  116
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = B2CEBB0D3FAB49562B75B956
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=99 bytes
HDR = 12000063
DAT = 1AC109698CF5FBF7454E0126160E1F81BF6F4257FEAB1EB99005D29562927D56FD80B8215873217F4F25203FE2E5D18AAED99CB5BF3F6847C5A086A67E9D9225A1EA889834A258D737A99837D848E4C52CF8EF83ABAF0919A59BEC28C72972D6DE2D6800
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=116 bytes
HDR = 47000074
DAT = 663E98B8ABE29563DDE892D9A0B08C0ABC875A66E9EB2B859E6F4009BA6639B92606B84E88EDD32AE13FEDC795E355DFC67DF0CAC275423C49D2BFEFEF5A2C5BDE18D8AF368EC7446E123A246CB63A81BBA5152D82703E85B0A50961B937FB3429094F1EEBA5B057E3EA9CA8980CCB26667672F3

#### Authenticated Encryption
#### MsgID= 11, KeyID=  7 Ad Size =  115, Pt Size =   79
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 7871AB9EF8AA0D19078A662F
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=115 bytes
HDR = 12000073
DAT = F1D3384C3CA43E5B894E789FED173C04FE1766977ABFE21E84E2F56C3DB7592DE0F395B97648D47A4BF6712EDF68742258CA785BEAC8752A5FD516F0982079146F3A03BA146C48806BFE689DC264C3DF095790410A85CFED4ABDDDB25E6144EA670026057DD91D4CC8501A86016016E8F43F5E00
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=79 bytes
HDR = 4700004F
DAT = C330863766DB8B7EB94E0451E9771BC3149CB8591BA3AC9AB55609309779D9D10335E0E208373E48D1642993B05D090396B0C270B6F44C8A7DCEAE623CB377E40DF80C2467F560D04B3C1BA18504CF00

#### Authenticated Encryption
#### MsgID= 12, KeyID=  7 Ad Size =  100, Pt Size =   44
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=12 bytes
HDR = D200000C
DAT = 719C73AD299FF54582AE045E
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=100 bytes
HDR = 12000064
